X;Y;Clay.gkg;OM.gkg
-47.43159128;-22.77340888;301;22.21
-47.4494351;-22.84190839;503;25.02
-47.3782099;-22.85607156;120;15
-47.37597243;-22.86442968;128;8
-47.37297297;-22.86819175;117;11
-47.37587613;-22.87197417;112;12
-47.34963988;-22.90188102;156;14
-47.44847887;-22.8763793;418;21
-47.43850489;-22.88125525;332;27
-47.44197637;-22.88507411;176;17
-47.43733262;-22.89031992;206;21
-47.43249352;-22.88918745;109;16
-47.4211799;-22.89688787;257;18
-47.41284641;-22.89837894;246;21
-47.40183041;-22.90225724;295;21
-47.40752985;-22.8954223;273;32
-47.44189416;-22.89752605;239;30
-47.4464343;-22.90621188;142;14
-47.45699194;-22.90496512;259;24
-47.45479438;-22.89847451;238;26
-47.44995695;-22.89962001;320;34
-47.44979248;-22.89274758;275;33
-47.45227755;-22.88726732;125;15
-47.3968927;-22.78417496;157;18
-47.39127297;-22.7824211;199;14
-47.39217361;-22.78631911;434;29
-47.3867133;-22.7861135;545;30
-47.39412566;-22.79011779;194;8
-47.38862059;-22.78948933;568;30
-47.38352657;-22.79444344;421;30
-47.37868317;-22.79917342;493;23
-47.37504789;-22.7949605;467;34
-47.37708769;-22.79172082;535;28
-47.37776152;-22.78690902;481;33
-47.36874871;-22.78967471;351;39
-47.37314603;-22.79879534;404;25
-47.3671167;-22.79874167;258;23
-47.37594867;-22.80448402;465;26
-47.37574266;-22.80899502;232;18
-47.37042809;-22.81537194;446;32
-47.38001892;-22.80925266;259;27
-47.38447465;-22.80352396;442;27
-47.38781786;-22.80379076;315;21
-47.39152543;-22.79587355;120;12
-47.39559003;-22.79862854;294;15
-47.39515537;-22.80703666;133;13
-47.3868249;-22.86223684;135;11
-47.38161228;-22.8577766;128;16
-47.40541111;-22.82087898;135;17.9
-47.40190507;-22.81858732;232;14.2
-47.40020102;-22.81823476;135;15.1
-47.40170921;-22.82567775;149;15.1
-47.40351119;-22.82416956;139;17.9
-47.39366994;-22.8293086;163;14
-47.39068889;-22.82731831;398;19.1
-47.38975749;-22.83186305;455;21.7
-47.39128704;-22.83550029;463;22.9
-47.3907562;-22.82938376;425;20.7
-47.39281228;-22.83465139;372;21.9
-47.3936879;-22.83186888;210;16.9
-47.39181521;-22.85061904;134;14.2
-47.39054566;-22.85391037;111;10
-47.38367132;-22.85700367;113;15.3
-47.39017415;-22.84777443;90;8.8
-47.38669246;-22.85687472;124;13.2
-47.38641614;-22.85309828;250;18.1
-47.38658193;-22.84965344;145;13.8
-47.3903031;-22.85648786;102;12.6
-47.39415323;-22.84891657;90;11.8
-47.39547958;-22.85241668;86;11.6
-47.39339794;-22.85547467;86;9.6
-47.38950698;-22.8514843;104;10.4
-47.37022797;-22.90641433;117;17.5
-47.37095971;-22.90314764;240;23.9
-47.37095971;-22.90095242;343;22.1
-47.3700189;-22.89695399;236;23.3
-47.36865996;-22.90434978;464;23.5
-47.37276292;-22.90095242;413;22.5
-47.37409574;-22.9029647;241;16.3
-47.37357306;-22.90607459;108;8
-47.36845089;-22.89839134;375;23.9
-47.37816268;-22.9073597;119;9.6
-47.37648975;-22.90526631;84;8.6
-47.35196563;-22.88765932;291;27.2
-47.3499308;-22.88734466;367;22.1
-47.34850432;-22.88654751;331;17.7
-47.3531194;-22.88602307;95;15.5
-47.34963711;-22.88910678;65;13.2
-47.34592408;-22.88942144;98;13.2
-47.3479589;-22.88367358;135;13.2
-47.35026644;-22.88623285;289;17.7
-47.34848335;-22.89133041;61;9.8
-47.44922935;-22.90564743;130;15.1
-47.37583897;-22.89863015;51;8.6
-47.37957974;-22.89683936;55;10.2
-47.38849392;-22.9052163;102;13.2
-47.38596691;-22.90231123;438;18.7
-47.38320112;-22.90107757;326;21.5
-47.38178839;-22.89940616;116;14.9
-47.38027616;-22.90157501;116;10.2
-47.37810731;-22.90165461;98;16.5
-47.37396858;-22.89747608;72;12
-47.36130311;-22.89210947;229;14.7
-47.3591878;-22.89056586;331;17.3
-47.35572898;-22.88839338;320;30.2
-47.35864468;-22.89562546;258;22.3
-47.35487142;-22.89591131;188;18.7
-47.36084575;-22.88959396;169;13.4
-47.36021687;-22.88647817;139;9
-47.35584332;-22.88999416;126;17.9
-47.45402671;-22.81790796;508;25.4
-47.45425287;-22.82624582;563;24.3
-47.36379309;-22.88213084;126;15.1
-47.35866727;-22.88072651;96;14.7
-47.35548996;-22.88286812;115;22.7
-47.35810553;-22.88379849;96;10.2
-47.36883113;-22.87489853;75;13.2
-47.36142327;-22.87507407;79;15.7
-47.36140572;-22.88144623;91;12.8
-47.36440748;-22.87610976;83;13.2
-47.42766864;-22.90098671;208;12.2
-47.43114265;-22.90434175;216;14
-47.43130921;-22.8975127;194;12
-47.43380765;-22.89563293;225;15.1
-47.4304761;-22.90676979;312;15.1
-47.42657379;-22.90527073;267;5.8
-47.42367084;-22.9058656;297;12.6
-47.41967335;-22.90164602;423;22.3
-47.40890629;-22.90497727;323;20.7
-47.39995357;-22.90586956;372;23.9
-47.41907848;-22.90664289;309;18.9
-47.41530109;-22.90343062;526;25
-47.42273691;-22.90203268;248;15.9
-47.44878915;-22.8296556;501;12.8
-47.44176244;-22.83425307;236;17.3
-47.44957212;-22.83545765;495;28.4
-47.44549663;-22.83593948;504;25
-47.44824709;-22.84306657;467;21.9
-47.45125853;-22.84292604;549;30
-47.45418967;-22.83666223;486;28.2
-47.45700036;-22.83923199;150;10.4
-47.44820693;-22.83234582;523;12
-47.4464603;-22.83868993;539;22.3
-47.45007403;-22.83929222;427;24.3
-47.45519407;-22.83210843;248;13.8
-47.45310015;-22.83329816;392;19.9
-47.45362363;-22.84186422;397;25
-47.45310015;-22.8446244;535;22.7
-47.45114899;-22.83172772;504;23.3
-47.44711231;-22.84066432;501;24.3
-47.39594776;-22.8406698;80;13
-47.399155;-22.84266349;115;13.2
-47.4021022;-22.84262015;118;13.2
-47.39924169;-22.83741921;133;16.3
-47.40240559;-22.83655239;206;17.1
-47.40322907;-22.84413709;154;18.7
-47.40166879;-22.84652085;215;19.3
-47.39850489;-22.84686758;82;13.2
-47.40153877;-22.839933;161;12.8
-47.40422592;-22.83988966;204;20.9
-47.40123538;-22.8501615;222;15.9
-47.41610138;-22.84092984;210;20.5
-47.40995643;-22.84049307;342;29.4
-47.40866454;-22.84192333;284;25
-47.40617309;-22.84472851;270;34.2
-47.40748179;-22.83628142;308;23.9
-47.41214553;-22.8390178;338;22.5
-47.41497709;-22.84446677;348;28.4
-47.41885561;-22.84294391;412;21.7
-47.41876043;-22.83875606;247;10.2
-47.41490571;-22.83544861;185;14.7
-47.41221692;-22.83440165;207;17.5
-47.41145549;-22.84558511;435;24.1
